PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
1,0,3,male,22,7.25,Southampton
2,1,1,female,38,71.2833,Cherbourg
3,1,3,female,26,7.925,Southampton
4,1,1,female,35,53.1,Southampton
5,0,3,male,35,8.05,Southampton
6,0,3,male,60,8.4583,Queenstown
7,0,1,male,54,51.8625,Southampton
8,0,3,male,2,21.075,Southampton
9,1,3,female,27,11.1333,Southampton
10,1,2,female,14,30.0708,Cherbourg
11,1,3,female,4,16.7,Southampton
12,1,1,female,58,26.55,Southampton
13,0,3,male,20,8.05,Southampton
14,0,3,male,39,31.275,Southampton
15,0,3,female,14,7.8542,Southampton
16,1,2,female,55,16,Southampton
17,0,3,male,2,29.125,Queenstown
18,1,2,male,60,13,Southampton
19,0,3,female,31,18,Southampton
20,1,3,female,60,7.225,Cherbourg
21,0,2,male,35,26,Southampton
22,1,2,male,34,13,Southampton
23,1,3,female,15,8.0292,Queenstown
24,1,1,male,28,35.5,Southampton
25,0,3,female,8,21.075,Southampton
26,1,3,female,38,31.3875,Southampton
27,0,3,male,60,7.225,Cherbourg
28,0,1,male,19,263,Southampton
29,1,3,female,60,7.8792,Queenstown
30,0,3,male,60,7.8958,Southampton
31,0,1,male,40,27.7208,Cherbourg
32,1,1,female,60,146.5208,Cherbourg
33,1,3,female,60,7.75,Queenstown
34,0,2,male,66,10.5,Southampton
35,0,1,male,28,82.1708,Cherbourg
36,0,1,male,42,52,Southampton
37,1,3,male,60,7.2292,Cherbourg
38,0,3,male,21,8.05,Southampton
39,0,3,female,18,18,Southampton
40,1,3,female,14,11.2417,Cherbourg
41,0,3,female,40,9.475,Southampton
42,0,2,female,27,21,Southampton
43,0,3,male,60,7.8958,Cherbourg
44,1,2,female,3,41.5792,Cherbourg
45,1,3,female,19,7.8792,Queenstown
46,0,3,male,60,8.05,Southampton
47,0,3,male,60,15.5,Queenstown
48,1,3,female,60,7.75,Queenstown
49,0,3,male,60,21.6792,Cherbourg
50,0,3,female,18,17.8,Southampton
51,0,3,male,7,39.6875,Southampton
52,0,3,male,21,7.8,Southampton
53,1,1,female,49,76.7292,Cherbourg
54,1,2,female,29,26,Southampton
55,0,1,male,65,61.9792,Cherbourg
56,1,1,male,60,35.5,Southampton
57,1,2,female,21,10.5,Southampton
58,0,3,male,28.5,7.2292,Cherbourg
59,1,2,female,5,27.75,Southampton
60,0,3,male,11,46.9,Southampton
61,0,3,male,22,7.2292,Cherbourg
63,0,1,male,45,83.475,Southampton
64,0,3,male,4,27.9,Southampton
65,0,1,male,60,27.7208,Cherbourg
66,1,3,male,60,15.2458,Cherbourg
67,1,2,female,29,10.5,Southampton
68,0,3,male,19,8.1583,Southampton
69,1,3,female,17,7.925,Southampton
70,0,3,male,26,8.6625,Southampton
71,0,2,male,32,10.5,Southampton
72,0,3,female,16,46.9,Southampton
73,0,2,male,21,73.5,Southampton
74,0,3,male,26,14.4542,Cherbourg
75,1,3,male,32,56.4958,Southampton
76,0,3,male,25,7.65,Southampton
77,0,3,male,60,7.8958,Southampton
78,0,3,male,60,8.05,Southampton
79,1,2,male,0.83,29,Southampton
80,1,3,female,30,12.475,Southampton
81,0,3,male,22,9,Southampton
82,1,3,male,29,9.5,Southampton
83,1,3,female,60,7.7875,Queenstown
84,0,1,male,28,47.1,Southampton
85,1,2,female,17,10.5,Southampton
86,1,3,female,33,15.85,Southampton
87,0,3,male,16,34.375,Southampton
88,0,3,male,60,8.05,Southampton
89,1,1,female,23,263,Southampton
90,0,3,male,24,8.05,Southampton
91,0,3,male,29,8.05,Southampton
92,0,3,male,20,7.8542,Southampton
93,0,1,male,46,61.175,Southampton
94,0,3,male,26,20.575,Southampton
95,0,3,male,59,7.25,Southampton
96,0,3,male,60,8.05,Southampton
97,0,1,male,71,34.6542,Cherbourg
98,1,1,male,23,63.3583,Cherbourg
99,1,2,female,34,23,Southampton
100,0,2,male,34,26,Southampton
101,0,3,female,28,7.8958,Southampton
102,0,3,male,60,7.8958,Southampton
103,0,1,male,21,77.2875,Southampton
104,0,3,male,33,8.6542,Southampton
105,0,3,male,37,7.925,Southampton
106,0,3,male,28,7.8958,Southampton
107,1,3,female,21,7.65,Southampton
108,1,3,male,60,7.775,Southampton
109,0,3,male,38,7.8958,Southampton
110,1,3,female,60,24.15,Queenstown
111,0,1,male,47,52,Southampton
112,0,3,female,14.5,14.4542,Cherbourg
113,0,3,male,22,8.05,Southampton
114,0,3,female,20,9.825,Southampton
115,0,3,female,17,14.4583,Cherbourg
116,0,3,male,21,7.925,Southampton
117,0,3,male,70.5,7.75,Queenstown
118,0,2,male,29,21,Southampton
119,0,1,male,24,247.5208,Cherbourg
120,0,3,female,2,31.275,Southampton
121,0,2,male,21,73.5,Southampton
122,0,3,male,60,8.05,Southampton
123,0,2,male,32.5,30.0708,Cherbourg
124,1,2,female,32.5,13,Southampton
125,0,1,male,54,77.2875,Southampton
126,1,3,male,12,11.2417,Cherbourg
127,0,3,male,60,7.75,Queenstown
128,1,3,male,24,7.1417,Southampton
129,1,3,female,60,22.3583,Cherbourg
130,0,3,male,45,6.975,Southampton
131,0,3,male,33,7.8958,Cherbourg
132,0,3,male,20,7.05,Southampton
133,0,3,female,47,14.5,Southampton
134,1,2,female,29,26,Southampton
135,0,2,male,25,13,Southampton
136,0,2,male,23,15.0458,Cherbourg
137,1,1,female,19,26.2833,Southampton
138,0,1,male,37,53.1,Southampton
139,0,3,male,16,9.2167,Southampton
140,0,1,male,24,79.2,Cherbourg
141,0,3,female,60,15.2458,Cherbourg
142,1,3,female,22,7.75,Southampton
143,1,3,female,24,15.85,Southampton
144,0,3,male,19,6.75,Queenstown
145,0,2,male,18,11.5,Southampton
146,0,2,male,19,36.75,Southampton
147,1,3,male,27,7.7958,Southampton
148,0,3,female,9,34.375,Southampton
149,0,2,male,36.5,26,Southampton
150,0,2,male,42,13,Southampton
151,0,2,male,51,12.525,Southampton
152,1,1,female,22,66.6,Southampton
153,0,3,male,55.5,8.05,Southampton
154,0,3,male,40.5,14.5,Southampton
155,0,3,male,60,7.3125,Southampton
156,0,1,male,51,61.3792,Cherbourg
157,1,3,female,16,7.7333,Queenstown
158,0,3,male,30,8.05,Southampton
159,0,3,male,60,8.6625,Southampton
160,0,3,male,60,69.55,Southampton
161,0,3,male,44,16.1,Southampton
162,1,2,female,40,15.75,Southampton
163,0,3,male,26,7.775,Southampton
164,0,3,male,17,8.6625,Southampton
165,0,3,male,1,39.6875,Southampton
166,1,3,male,9,20.525,Southampton
167,1,1,female,60,55,Southampton
168,0,3,female,45,27.9,Southampton
169,0,1,male,60,25.925,Southampton
170,0,3,male,28,56.4958,Southampton
171,0,1,male,61,33.5,Southampton
172,0,3,male,4,29.125,Queenstown
173,1,3,female,1,11.1333,Southampton
174,0,3,male,21,7.925,Southampton
175,0,1,male,56,30.6958,Cherbourg
176,0,3,male,18,7.8542,Southampton
177,0,3,male,60,25.4667,Southampton
178,0,1,female,50,28.7125,Cherbourg
179,0,2,male,30,13,Southampton
180,0,3,male,36,0,Southampton
181,0,3,female,60,69.55,Southampton
182,0,2,male,60,15.05,Cherbourg
183,0,3,male,9,31.3875,Southampton
184,1,2,male,1,39,Southampton
185,1,3,female,4,22.025,Southampton
186,0,1,male,60,50,Southampton
187,1,3,female,60,15.5,Queenstown
188,1,1,male,45,26.55,Southampton
189,0,3,male,40,15.5,Queenstown
190,0,3,male,36,7.8958,Southampton
191,1,2,female,32,13,Southampton
192,0,2,male,19,13,Southampton
193,1,3,female,19,7.8542,Southampton
194,1,2,male,3,26,Southampton
195,1,1,female,44,27.7208,Cherbourg
196,1,1,female,58,146.5208,Cherbourg
197,0,3,male,60,7.75,Queenstown
198,0,3,male,42,8.4042,Southampton
199,1,3,female,60,7.75,Queenstown
200,0,2,female,24,13,Southampton
201,0,3,male,28,9.5,Southampton
202,0,3,male,60,69.55,Southampton
203,0,3,male,34,6.4958,Southampton
204,0,3,male,45.5,7.225,Cherbourg
205,1,3,male,18,8.05,Southampton
206,0,3,female,2,10.4625,Southampton
207,0,3,male,32,15.85,Southampton
208,1,3,male,26,18.7875,Cherbourg
209,1,3,female,16,7.75,Queenstown
210,1,1,male,40,31,Cherbourg
211,0,3,male,24,7.05,Southampton
212,1,2,female,35,21,Southampton
213,0,3,male,22,7.25,Southampton
214,0,2,male,30,13,Southampton
215,0,3,male,60,7.75,Queenstown
216,1,1,female,31,113.275,Cherbourg
217,1,3,female,27,7.925,Southampton
218,0,2,male,42,27,Southampton
219,1,1,female,32,76.2917,Cherbourg
220,0,2,male,30,10.5,Southampton
221,1,3,male,16,8.05,Southampton
222,0,2,male,27,13,Southampton
223,0,3,male,51,8.05,Southampton
224,0,3,male,60,7.8958,Southampton
225,1,1,male,38,90,Southampton
226,0,3,male,22,9.35,Southampton
227,1,2,male,19,10.5,Southampton
228,0,3,male,20.5,7.25,Southampton
229,0,2,male,18,13,Southampton
230,0,3,female,60,25.4667,Southampton
231,1,1,female,35,83.475,Southampton
232,0,3,male,29,7.775,Southampton
233,0,2,male,59,13.5,Southampton
234,1,3,female,5,31.3875,Southampton
235,0,2,male,24,10.5,Southampton
236,0,3,female,60,7.55,Southampton
237,0,2,male,44,26,Southampton
238,1,2,female,8,26.25,Southampton
239,0,2,male,19,10.5,Southampton
240,0,2,male,33,12.275,Southampton
241,0,3,female,60,14.4542,Cherbourg
242,1,3,female,60,15.5,Queenstown
243,0,2,male,29,10.5,Southampton
244,0,3,male,22,7.125,Southampton
245,0,3,male,30,7.225,Cherbourg
246,0,1,male,44,90,Queenstown
247,0,3,female,25,7.775,Southampton
248,1,2,female,24,14.5,Southampton
249,1,1,male,37,52.5542,Southampton
250,0,2,male,54,26,Southampton
251,0,3,male,60,7.25,Southampton
252,0,3,female,29,10.4625,Southampton
253,0,1,male,62,26.55,Southampton
254,0,3,male,30,16.1,Southampton
255,0,3,female,41,20.2125,Southampton
256,1,3,female,29,15.2458,Cherbourg
257,1,1,female,60,79.2,Cherbourg
258,1,1,female,30,86.5,Southampton
259,1,1,female,35,512.3292,Cherbourg
260,1,2,female,50,26,Southampton
261,0,3,male,60,7.75,Queenstown
262,1,3,male,3,31.3875,Southampton
263,0,1,male,52,79.65,Southampton
264,0,1,male,40,0,Southampton
265,0,3,female,60,7.75,Queenstown
266,0,2,male,36,10.5,Southampton
267,0,3,male,16,39.6875,Southampton
268,1,3,male,25,7.775,Southampton
269,1,1,female,58,153.4625,Southampton
270,1,1,female,35,135.6333,Southampton
271,0,1,male,60,31,Southampton
272,1,3,male,25,0,Southampton
273,1,2,female,41,19.5,Southampton
274,0,1,male,37,29.7,Cherbourg
275,1,3,female,60,7.75,Queenstown
276,1,1,female,63,77.9583,Southampton
277,0,3,female,45,7.75,Southampton
278,0,2,male,60,0,Southampton
279,0,3,male,7,29.125,Queenstown
280,1,3,female,35,20.25,Southampton
281,0,3,male,65,7.75,Queenstown
282,0,3,male,28,7.8542,Southampton
283,0,3,male,16,9.5,Southampton
284,1,3,male,19,8.05,Southampton
285,0,1,male,60,26,Southampton
286,0,3,male,33,8.6625,Cherbourg
287,1,3,male,30,9.5,Southampton
288,0,3,male,22,7.8958,Southampton
289,1,2,male,42,13,Southampton
290,1,3,female,22,7.75,Queenstown
291,1,1,female,26,78.85,Southampton
292,1,1,female,19,91.0792,Cherbourg
293,0,2,male,36,12.875,Cherbourg
294,0,3,female,24,8.85,Southampton
295,0,3,male,24,7.8958,Southampton
296,0,1,male,60,27.7208,Cherbourg
297,0,3,male,23.5,7.2292,Cherbourg
298,0,1,female,2,151.55,Southampton
299,1,1,male,60,30.5,Southampton
300,1,1,female,50,247.5208,Cherbourg
301,1,3,female,60,7.75,Queenstown
302,1,3,male,60,23.25,Queenstown
303,0,3,male,19,0,Southampton
304,1,2,female,60,12.35,Queenstown
305,0,3,male,60,8.05,Southampton
306,1,1,male,0.92,151.55,Southampton
307,1,1,female,60,110.8833,Cherbourg
308,1,1,female,17,108.9,Cherbourg
309,0,2,male,30,24,Cherbourg
310,1,1,female,30,56.9292,Cherbourg
311,1,1,female,24,83.1583,Cherbourg
312,1,1,female,18,262.375,Cherbourg
313,0,2,female,26,26,Southampton
314,0,3,male,28,7.8958,Southampton
315,0,2,male,43,26.25,Southampton
316,1,3,female,26,7.8542,Southampton
317,1,2,female,24,26,Southampton
318,0,2,male,54,14,Southampton
319,1,1,female,31,164.8667,Southampton
320,1,1,female,40,134.5,Cherbourg
321,0,3,male,22,7.25,Southampton
322,0,3,male,27,7.8958,Southampton
323,1,2,female,30,12.35,Queenstown
324,1,2,female,22,29,Southampton
325,0,3,male,60,69.55,Southampton
326,1,1,female,36,135.6333,Cherbourg
327,0,3,male,61,6.2375,Southampton
328,1,2,female,36,13,Southampton
329,1,3,female,31,20.525,Southampton
330,1,1,female,16,57.9792,Cherbourg
331,1,3,female,60,23.25,Queenstown
332,0,1,male,45.5,28.5,Southampton
333,0,1,male,38,153.4625,Southampton
334,0,3,male,16,18,Southampton
335,1,1,female,60,133.65,Southampton
336,0,3,male,60,7.8958,Southampton
337,0,1,male,29,66.6,Southampton
338,1,1,female,41,134.5,Cherbourg
339,1,3,male,45,8.05,Southampton
340,0,1,male,45,35.5,Southampton
341,1,2,male,2,26,Southampton
342,1,1,female,24,263,Southampton
343,0,2,male,28,13,Southampton
344,0,2,male,25,13,Southampton
345,0,2,male,36,13,Southampton
346,1,2,female,24,13,Southampton
347,1,2,female,40,13,Southampton
348,1,3,female,60,16.1,Southampton
349,1,3,male,3,15.9,Southampton
350,0,3,male,42,8.6625,Southampton
351,0,3,male,23,9.225,Southampton
352,0,1,male,60,35,Southampton
353,0,3,male,15,7.2292,Cherbourg
354,0,3,male,25,17.8,Southampton
355,0,3,male,60,7.225,Cherbourg
356,0,3,male,28,9.5,Southampton
357,1,1,female,22,55,Southampton
358,0,2,female,38,13,Southampton
359,1,3,female,60,7.8792,Queenstown
360,1,3,female,60,7.8792,Queenstown
361,0,3,male,40,27.9,Southampton
362,0,2,male,29,27.7208,Cherbourg
363,0,3,female,45,14.4542,Cherbourg
364,0,3,male,35,7.05,Southampton
365,0,3,male,60,15.5,Queenstown
366,0,3,male,30,7.25,Southampton
367,1,1,female,60,75.25,Cherbourg
368,1,3,female,60,7.2292,Cherbourg
369,1,3,female,60,7.75,Queenstown
370,1,1,female,24,69.3,Cherbourg
371,1,1,male,25,55.4417,Cherbourg
372,0,3,male,18,6.4958,Southampton
373,0,3,male,19,8.05,Southampton
374,0,1,male,22,135.6333,Cherbourg
375,0,3,female,3,21.075,Southampton
376,1,1,female,60,82.1708,Cherbourg
377,1,3,female,22,7.25,Southampton
378,0,1,male,27,211.5,Cherbourg
379,0,3,male,20,4.0125,Cherbourg
380,0,3,male,19,7.775,Southampton
381,1,1,female,42,227.525,Cherbourg
382,1,3,female,1,15.7417,Cherbourg
383,0,3,male,32,7.925,Southampton
384,1,1,female,35,52,Southampton
385,0,3,male,60,7.8958,Southampton
386,0,2,male,18,73.5,Southampton
387,0,3,male,1,46.9,Southampton
388,1,2,female,36,13,Southampton
389,0,3,male,60,7.7292,Queenstown
390,1,2,female,17,12,Cherbourg
391,1,1,male,36,120,Southampton
392,1,3,male,21,7.7958,Southampton
393,0,3,male,28,7.925,Southampton
394,1,1,female,23,113.275,Cherbourg
395,1,3,female,24,16.7,Southampton
396,0,3,male,22,7.7958,Southampton
397,0,3,female,31,7.8542,Southampton
398,0,2,male,46,26,Southampton
399,0,2,male,23,10.5,Southampton
400,1,2,female,28,12.65,Southampton
401,1,3,male,39,7.925,Southampton
402,0,3,male,26,8.05,Southampton
403,0,3,female,21,9.825,Southampton
404,0,3,male,28,15.85,Southampton
405,0,3,female,20,8.6625,Southampton
406,0,2,male,34,21,Southampton
407,0,3,male,51,7.75,Southampton
408,1,2,male,3,18.75,Southampton
409,0,3,male,21,7.775,Southampton
410,0,3,female,60,25.4667,Southampton
411,0,3,male,60,7.8958,Southampton
412,0,3,male,60,6.8583,Queenstown
413,1,1,female,33,90,Queenstown
414,0,2,male,60,0,Southampton
415,1,3,male,44,7.925,Southampton
416,0,3,female,60,8.05,Southampton
417,1,2,female,34,32.5,Southampton
418,1,2,female,18,13,Southampton
419,0,2,male,30,13,Southampton
420,0,3,female,10,24.15,Southampton
421,0,3,male,60,7.8958,Cherbourg
422,0,3,male,21,7.7333,Queenstown
423,0,3,male,29,7.875,Southampton
424,0,3,female,28,14.4,Southampton
425,0,3,male,18,20.2125,Southampton
426,0,3,male,60,7.25,Southampton
427,1,2,female,28,26,Southampton
428,1,2,female,19,26,Southampton
429,0,3,male,60,7.75,Queenstown
430,1,3,male,32,8.05,Southampton
431,1,1,male,28,26.55,Southampton
432,1,3,female,60,16.1,Southampton
433,1,2,female,42,26,Southampton
434,0,3,male,17,7.125,Southampton
435,0,1,male,50,55.9,Southampton
436,1,1,female,14,120,Southampton
437,0,3,female,21,34.375,Southampton
438,1,2,female,24,18.75,Southampton
439,0,1,male,64,263,Southampton
440,0,2,male,31,10.5,Southampton
441,1,2,female,45,26.25,Southampton
442,0,3,male,20,9.5,Southampton
443,0,3,male,25,7.775,Southampton
444,1,2,female,28,13,Southampton
445,1,3,male,60,8.1125,Southampton
